Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
181,Инжир,8225,960,Фрукты,Помогает поддерживать нормальный уровень pH в организме.,2020-04-12,2027-08-24,4.59,In Stock
182,Пастрома,2755,564,Мясо,Помогает улучшить когнитивные функции и память.,2017-04-02,2020-06-12,0.36,Pending
183,Варенец,1872,385,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2012-06-09,2014-01-01,0.15,Out of Stock
184,Термосы,5016,500,Товары для дома,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2004-07-02,2015-03-17,0.96,Out of Stock
185,Рулька,2183,819,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2000-02-28,2009-02-07,2.2,Backorder
186,Конфи,6505,424,Мясо,Отличается хорошим сочетанием с различными специями и приправами.,2008-02-01,2011-01-08,0.41,Available for Pickup
187,Малина,9754,535,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2008-02-07,2021-07-11,1.15,Cancelled
188,Черешня,3541,795,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1998-01-20,2010-04-17,1.98,Out of Stock
189,Burn,5524,894,Напитки,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2002-05-02,2015-02-11,1.18,Pending
190,Колбаса копченая,4753,349,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1990-07-02,1995-04-08,2.79,Awaiting Payment
191,Клубника,8195,627,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2014-03-23,2026-01-10,3.59,Temporarily Unavailable
192,Каша из дробленного риса,6258,8,Бакалея,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2009-03-04,2026-04-23,2.29,Sold
193,Повидло,7797,618,Бакалея,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2016-03-07,2029-02-08,1.54,Sold
